                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.50284,                   0.99,                0.84351,                0.73328,                0.88984,                0.93136,                0.87879,                0.43309,                0.86843,                0.82979,               0.004753,               0.004753,               0.004753
                     55,                 0.4381,                0.91677,                0.82154,                0.90679,                0.81557,                0.93136,                0.80771,                 0.4861,                0.90483,                0.84639,               0.004654,               0.004654,               0.004654
                     56,                0.51722,                0.96424,                0.86808,                0.80881,                 0.9037,                0.97417,                0.89332,                0.44695,                0.80382,                0.83084,               0.004555,               0.004555,               0.004555
                     57,                0.46124,                0.88607,                0.85271,                0.75071,                0.89298,                0.90507,                0.81953,                0.46166,                0.90151,                0.84312,               0.004456,               0.004456,               0.004456
                     58,                0.47991,                0.87935,                0.84696,                0.85472,                 0.8852,                0.96861,                0.89048,                0.45153,                0.80097,                0.83163,               0.004357,               0.004357,               0.004357
                     59,                0.46326,                0.81119,                0.84354,                0.86793,                0.92955,                 0.9825,                0.88673,                0.43714,                0.77311,                 0.8354,               0.004258,               0.004258,               0.004258
                     60,                0.47244,                 0.8281,                0.83667,                0.87765,                 0.9261,                   0.97,                0.87779,                 0.4929,                0.78067,                0.83181,               0.004159,               0.004159,               0.004159
                     61,                 0.4726,                0.86204,                 0.8343,                0.80582,                0.90691,                0.96306,                0.86623,                0.44268,                 0.8199,                0.81964,                0.00406,                0.00406,                0.00406
                     62,                0.51176,                0.98075,                0.86001,                0.90874,                0.86034,                0.95333,                0.87454,                0.44526,                0.77637,                0.82178,               0.003961,               0.003961,               0.003961
                     63,                0.45282,                0.81038,                0.82636,                0.84416,                0.92234,                0.96306,                0.88781,                0.43929,                0.77998,                0.82046,               0.003862,               0.003862,               0.003862
                     64,                0.49744,                0.87305,                0.84184,                 0.8707,                0.90861,                0.95611,                0.88188,                0.42255,                0.77507,                0.82177,               0.003763,               0.003763,               0.003763
                     65,                0.43875,                0.79587,                0.83976,                0.87445,                0.86347,                0.93958,                0.84627,                0.46181,                 0.8016,                0.82817,               0.003664,               0.003664,               0.003664
                     66,                0.47913,                0.82611,                0.82459,                0.88046,                0.89796,                0.92569,                0.85683,                0.44328,                0.76474,                0.83748,               0.003565,               0.003565,               0.003565
                     67,                0.46382,                 0.7991,                0.85554,                 0.8024,                0.91667,                0.91111,                0.84522,                0.41257,                0.78566,                0.82289,               0.003466,               0.003466,               0.003466
                     68,                0.45368,                0.84851,                0.84777,                0.79002,                  0.916,                0.91528,                0.83014,                0.44663,                0.85453,                 0.8272,               0.003367,               0.003367,               0.003367
